Region;Recurso;anio;quincena;meanTemperatura;meanRadiacion;NDVImax;latitud
Esteros del Ibera;Pastizal;2019;1;26.2;11.1;;-33.587
Esteros del Ibera;Pastizal;2019;2;26.4;11.2;0.74;-33.587
Esteros del Ibera;Pastizal;2019;3;24.2;10.9;0.75;-33.587
Esteros del Ibera;Pastizal;2019;4;24.4;10.3;0.75;-33.587
Esteros del Ibera;Pastizal;2019;5;23.3;9.6;0.72;-33.587
Esteros del Ibera;Pastizal;2019;6;21.7;8.2;0.73;-33.587
Esteros del Ibera;Pastizal;2019;7;22;7.1;0.73;-33.587
Esteros del Ibera;Pastizal;2019;8;20.5;6.6;0.72;-33.587
Esteros del Ibera;Pastizal;2019;9;19.3;5;0.73;-33.587
Esteros del Ibera;Pastizal;2019;10;17.1;4.7;0.73;-33.587
Esteros del Ibera;Pastizal;2019;11;17.8;4.6;0.72;-33.587
Esteros del Ibera;Pastizal;2019;12;16.1;4;0.66;-33.587
Esteros del Ibera;Pastizal;2019;13;11.6;4.3;0.69;-33.587
Esteros del Ibera;Pastizal;2019;14;14;5.1;0.53;-33.587
Esteros del Ibera;Pastizal;2019;15;12.6;5.6;0.57;-33.587
Esteros del Ibera;Pastizal;2019;16;16;6.6;0.53;-33.587
Esteros del Ibera;Pastizal;2019;17;16.3;6.5;0.46;-33.587
Esteros del Ibera;Pastizal;2019;18;18.5;8;0.56;-33.587
Esteros del Ibera;Pastizal;2019;19;21.6;8.1;0.55;-33.587
Esteros del Ibera;Pastizal;2019;20;21.5;9.4;0.60;-33.587
Esteros del Ibera;Pastizal;2019;21;24.6;10.6;0.64;-33.587
Esteros del Ibera;Pastizal;2019;22;25.6;11.1;0.65;-33.587
Esteros del Ibera;Pastizal;2019;23;25.1;11.4;0.69;-33.587
Esteros del Ibera;Pastizal;2019;24;27.2;11.6;0.68;-33.587
Malezales;Pastizal;2019;1;25.9;11;0.67;-33.587
Malezales;Pastizal;2019;2;26.2;11.1;0.68;-33.587
Malezales;Pastizal;2019;3;24;10.9;0.70;-33.587
Malezales;Pastizal;2019;4;24.4;10.4;0.67;-33.587
Malezales;Pastizal;2019;5;23.4;9.6;0.64;-33.587
Malezales;Pastizal;2019;6;22.1;8.2;0.66;-33.587
Malezales;Pastizal;2019;7;22.6;7.1;0.67;-33.587
Malezales;Pastizal;2019;8;20.6;6.7;0.64;-33.587
Malezales;Pastizal;2019;9;19.1;5;0.66;-33.587
Malezales;Pastizal;2019;10;16.9;4.7;0.66;-33.587
Malezales;Pastizal;2019;11;17.5;4.6;0.62;-33.587
Malezales;Pastizal;2019;12;16.4;4.1;0.58;-33.587
Malezales;Pastizal;2019;13;11.3;4.4;0.63;-33.587
Malezales;Pastizal;2019;14;14;5.1;0.51;-33.587
Malezales;Pastizal;2019;15;12.5;5.5;0.54;-33.587
Malezales;Pastizal;2019;16;15.7;6.6;0.49;-33.587
Malezales;Pastizal;2019;17;16.2;6.4;0.50;-33.587
Malezales;Pastizal;2019;18;18.9;8;0.50;-33.587
Malezales;Pastizal;2019;19;22.2;8;0.52;-33.587
Malezales;Pastizal;2019;20;21.2;9.3;0.57;-33.587
Malezales;Pastizal;2019;21;24.3;10.5;0.58;-33.587
Malezales;Pastizal;2019;22;25.6;10.9;0.61;-33.587
Malezales;Pastizal;2019;23;25.4;11.6;0.65;-33.587
Malezales;Pastizal;2019;24;27.4;11.7;0.63;-33.587
Nandubayzal y Selva de Montiel;Pastizal;2019;1;24.9;11;0.72;-33.587
